sector,organization,job_title,job_description,city,vacancies,posting_date_hijri,posting_day_hijri,posting_month_hijri,posting_year_hijri,source_dataset
القطاع شبه الحكومي,المركز الوطني للتنمية الصناعية,كيميائي صناعات,To review  and design all Specialty Chemicals activities within the NIDC in an effective manner in order to facilitate the achievement of the department’s objectives in accordance with the NIDC’s policies and procedures whilst providing high quality services to relevant stakeholders.,الرياض,1,06/05/1447,6,5,1447,jadarat_recent
القطاع شبه الحكومي,المركز الوطني للتنمية الصناعية,كيميائي صناعات,To review  and design all Inorganic Chemicals activities within the NIDC in an effective manner in order to facilitate the achievement of the department’s objectives in accordance with the NIDC’s policies and procedures whilst providing high quality services to relevant stakeholders.,الرياض,1,06/05/1447,6,5,1447,jadarat_recent
القطاع شبه الحكومي,المركز الوطني للتنمية الصناعية,مهندس كهربائي,To review  and design all Machinery and Equipment activities within the NIDC in an effective manner in order to facilitate the achievement of the department’s objectives in accordance with the NIDC’s policies and procedures whilst providing high quality services to relevant stakeholders.,الرياض,1,05/05/1447,5,5,1447,jadarat_recent
القطاع شبه الحكومي,المركز الوطني للتنمية الصناعية,مراجع داخلي,تخطيط عمليات التدقيق والمراجعة الداخلية في الجهة وتنفيذها وتقييم مدى الالتزام بالإجراءات والسياسات المؤسسية المعتمدة وإعداد الوثائق والتقارير المتعلقة بنتائج أعمال المراجعة وعرضها وتوضيحها ومناقشتها.,الرياض,1,05/05/1447,5,5,1447,jadarat_recent
القطاع شبه الحكومي,المركز الوطني للتنمية الصناعية,منسق لجان,تحضير ودعوة اللجان، وتهيئة أماكن عقد الاجتماعات، ومتابعة محاضر الاجتماعات مع أمناء السر، وإعداد مسودة وثيقة القرارات والتوصيات ورفع النتائج إلى الجهات المعنية، وإعداد وتقديم تقارير العمل.,الرياض,1,05/05/1447,5,5,1447,jadarat_recent
القطاع شبه الحكومي,المركز الوطني للتنمية الصناعية,مهندس صناعي,To review  and design all Aerospace activities within the NIDC in an effective manner in order to facilitate the achievement of the department’s objectives in accordance with the NIDC’s policies and procedures whilst providing high quality services to relevant stakeholders.,الرياض,1,05/05/1447,5,5,1447,jadarat_recent
القطاع شبه الحكومي,المركز الوطني للتنمية الصناعية,مهندس تعدين,To review  and design all Metals activities within the NIDC in an effective manner in order to facilitate the achievement of the department’s objectives in accordance with the NIDC’s policies and procedures whilst providing high quality services to relevant stakeholders.,الرياض,1,05/05/1447,5,5,1447,jadarat_recent
القطاع شبه الحكومي,المركز الوطني للتنمية الصناعية,مهندس بحري,To review  and design all Marine activities within the NIDC in an effective manner in order to facilitate the achievement of the department’s objectives in accordance with the NIDC’s policies and procedures whilst providing high quality services to relevant stakeholders.,الرياض,1,05/05/1447,5,5,1447,jadarat_recent
القطاع شبه الحكومي,المركز الوطني للتنمية الصناعية,خبير موارد بشرية,إعداد البحوث والدراسات وتقديم المشورة والتوصيات وإجراء الأبحاث والدراسات في الإجراءات والأنظمة والنماذج الخاصة بمراقبة دوام الموظفين، والمساهمة في والإشراف على تطبيق سياسات وإجراءات الإجازات المرضية والطارئة، وتحديث المعلومات المتعلقة بالموظفين والتعامل مع شكاويهم واستفساراتهم بمهنية وإعداد الوثائق والتقارير المتخصصة والمتعلقة في مجال عمليات الموارد البشرية وعرضها وحف,الرياض,10,05/05/1447,5,5,1447,jadarat_recent
القطاع شبه الحكومي,المركز الوطني للتنمية الصناعية,اختصاصي مركز بيانات,القيام بتطوير وتأمين مراكز البيانات والمعلومات لمختلف الأنشطة، ورفع كفاءة الأداء باستخدام تكنولوجيا الاتصالات والمعلومات.,الرياض,1,05/05/1447,5,5,1447,jadarat_recent
القطاع شبه الحكومي,المركز الوطني للتنمية الصناعية,فني معادن,To review  and design all Metals activities within the NIDC in an effective manner in order to facilitate the achievement of the department’s objectives in accordance with the NIDC’s policies and procedures whilst providing high quality services to relevant stakeholders.,الرياض,1,05/05/1447,5,5,1447,jadarat_recent
القطاع شبه الحكومي,المركز الوطني للتنمية الصناعية,ميكانيكي معدات ثقيلة,To review  and design all Machinery and Equipment activities within the NIDC in an effective manner in order to facilitate the achievement of the department’s objectives in accordance with the NIDC’s policies and procedures whilst providing high quality services to relevant stakeholders.,الرياض,1,05/05/1447,5,5,1447,jadarat_recent
القطاع شبه الحكومي,المركز الوطني للتنمية الصناعية,مهندس مواد,To review  and design all Building Material activities within the NIDC in an effective manner in order to facilitate the achievement of the department’s objectives in accordance with the NIDC’s policies and procedures whilst providing high quality services to relevant stakeholders.,الرياض,1,05/05/1447,5,5,1447,jadarat_recent
القطاع شبه الحكومي,المركز الوطني لإدارة النفايات,أخصائي أداء مؤسسي,"دعم بناء وتنفيذ وقياس مؤشرات الأداء والتميز المؤسسي الرئيسية، بما يتوافق مع الأهداف الاستراتيجية لتحسين العمليات

والإجراءات، والتركيز على تحقيق نتائج عالية الجودة لضمان تحقيق الأهداف الاستراتيجية للمركز.",الرياض,1,05/05/1447,5,5,1447,jadarat_recent
القطاع شبه الحكومي,المركز الوطني للتنمية الصناعية,مصمم صناعي,To review  and design all industrial Services activities within the NIDC in an effective manner in order to facilitate the achievement of the department’s objectives in accordance with the NIDC’s policies and procedures whilst providing high quality services to relevant stakeholders.,الرياض,1,05/05/1447,5,5,1447,jadarat_recent
القطاع شبه الحكومي,المركز الوطني للتنمية الصناعية,أخصائي عمليات موارد بشرية,تنفيذ الإجراءات والأنظمة والنماذج الخاصة بمراقبة دوام الموظفين، والمساهمة في والإشراف على تطبيق سياسات وإجراءات الإجازات المرضية والطارئة، وتحديث المعلومات المتعلقة بالموظفين والتعامل مع شكاويهم واستفساراتهم بمهنية وإعداد الوثائق والتقارير المتخصصة والمتعلقة في مجال عمليات الموارد البشرية وعرضها وحفظها.,الرياض,1,05/05/1447,5,5,1447,jadarat_recent
القطاع شبه الحكومي,إدارة التشغيل وصيانة المنشآت العسكرية بالطائف,ميكانيكي معدات ثقيلة,فحص المعدات الهيدروليكية الثقيلة مثل الشاحنات الثقيلة ومعدات الإنشاءات ذات الصلة، والجرارات التي تعمل بالبنزين والديزل وصيانتها وتصليحها.,الطائف,6,05/05/1447,5,5,1447,jadarat_recent
القطاع شبه الحكومي,إدارة التشغيل وصيانة المنشآت العسكرية بجازان,فني صيانة مباني,تختص هذي السلسلة بأعمال الدهانات,بيش,1,05/05/1447,5,5,1447,jadarat_recent
القطاع شبه الحكومي,الادارة العامة لصحة السجون,مساعد طبيب أسنان,تحضير المواد السنية وخلط الحشوات ومنأولة طبيب الاسنان الأدوات والمواد بحسب طلبه وتفقد الأجهزة والمعدات والأدوات المستخدمة وخدمتها وتخزينها,الرياض,1,05/05/1447,5,5,1447,jadarat_recent
القطاع شبه الحكومي,الادارة العامة لصحة السجون,مساعد طبيب أسنان,تحضير المواد السنية وخلط الحشوات ومنأولة طبيب الاسنان الأدوات والمواد بحسب طلبه وتفقد الأجهزة والمعدات والأدوات المستخدمة وخدمتها وتخزينها,عرعر,1,05/05/1447,5,5,1447,jadarat_recent
القطاع شبه الحكومي,الادارة العامة لصحة السجون,مساعد طبيب أسنان,تحضير المواد السنية وخلط الحشوات ومنأولة طبيب الاسنان الأدوات والمواد بحسب طلبه وتفقد الأجهزة والمعدات والأدوات المستخدمة وخدمتها وتخزينها,حائل,1,05/05/1447,5,5,1447,jadarat_recent
القطاع شبه الحكومي,الادارة العامة لصحة السجون,مساعد طبيب أسنان,تحضير المواد السنية وخلط الحشوات ومنأولة طبيب الاسنان الأدوات والمواد بحسب طلبه وتفقد الأجهزة والمعدات والأدوات المستخدمة وخدمتها وتخزينها,اخرى,1,05/05/1447,5,5,1447,jadarat_recent
القطاع شبه الحكومي,الادارة العامة لصحة السجون,مساعد طبيب أسنان,تحضير المواد السنية وخلط الحشوات ومنأولة طبيب الاسنان الأدوات والمواد بحسب طلبه وتفقد الأجهزة والمعدات والأدوات المستخدمة وخدمتها وتخزينها,العاذرية (الأحساء),1,05/05/1447,5,5,1447,jadarat_recent
القطاع شبه الحكومي,المركز الوطني للرقابة علي الإلتزام البيئي,مدير تطوير موارد بشرية,إدارة هياكل المنظمة وأطر العمل الخاصة بإدارة رأس المال البشري والسياسات والأوصاف الوظيفية وخطط القوى العاملة وإدارة الأداء والمكافآت لموظفي المركز.,الرياض,1,05/05/1447,5,5,1447,jadarat_recent
القطاع شبه الحكومي,مدينة الملك فيصل العسكرية بالمنطقة الجنوبية,ميكانيكي سيارات,إصلاح اطارات وصيانتها السيارات وتنفيذ برامج الصيانية الوقائية,احد رفيده,2,05/05/1447,5,5,1447,jadarat_recent
القطاع شبه الحكومي,مدينة الملك فيصل العسكرية بالمنطقة الجنوبية,فني صيانة مباني,دراسة تفاصيل خطة الصيانة الدورية للأبنية المختلفة و إعداد قائمة بالمواد اللازمة لتنفيذ أعمال الصيانة الدورية و الطارئة، و متابعة تنفيذها، بالإضافة إلى كيل الأعمال المنجزة، و حساب كمياتها و تدقيقها و إعداد المطالبات المالية.,احد رفيده,8,05/05/1447,5,5,1447,jadarat_recent
القطاع شبه الحكومي,مدينة الملك فيصل العسكرية بالمنطقة الجنوبية,أخصائي جودة مياه,جمع عينات من المياه واختبارها وتحليل جودتها، والتحقق من مياه الشرب والمياه الجوفية والمياه السطحية، وضمان الالتزام بالمعايير المقررة، والتوصية بالإجراءات التصحيحية.,احد رفيده,2,05/05/1447,5,5,1447,jadarat_recent
القطاع شبه الحكومي,مدينة الملك فيصل العسكرية بالمنطقة الجنوبية,طاهي,استلام المواد الأولية وتجهيز وتتبيل وطهي اللحوم والدجاج والاسماك والخضرأوات وغيرها من الأطعمة في الفنادق والمطاعم والنوادي وتجهيزها للتقديم ومتابعة إجراءات تنظيف المطبخ والأدوات.,احد رفيده,4,05/05/1447,5,5,1447,jadarat_recent
القطاع شبه الحكومي,مدينة الملك فيصل العسكرية بالمنطقة الجنوبية,ميكانيكي معدات ثقيلة,فحص المعدات الهيدروليكية الثقيلة مثل الشاحنات الثقيلة ومعدات الإنشاءات ذات الصلة، والجرارات التي تعمل بالبنزين والديزل وصيانتها وتصليحها.,احد رفيده,3,05/05/1447,5,5,1447,jadarat_recent
القطاع شبه الحكومي,مدينة الملك فيصل العسكرية بالمنطقة الجنوبية,فني أجهزة دقيقة,دراسة المخططات التنفيذية لتركيب الأجهزة الدقيقة و تحديد كميات المواد اللازمة لإتمام العمل بالإضافة إلى أداء عمليات الصيانة الوقائية، وتشخيص التلفيات والأعطال المحتملة، واتخاذ الإجراءات التصحيحية.,احد رفيده,3,05/05/1447,5,5,1447,jadarat_recent
القطاع شبه الحكومي,مدينة الملك فيصل العسكرية بالمنطقة الجنوبية,ميكانيكي مصاعد,فحص المصاعد والسلالم المتحركة والمقاعد الهوائية والأرصفة المتحركة وصيانتها وتصليحها.,احد رفيده,1,05/05/1447,5,5,1447,jadarat_recent
القطاع شبه الحكومي,مدينة الملك فيصل العسكرية بالمنطقة الجنوبية,فني صيانة مباني,دراسة تفاصيل خطة الصيانة الدورية للأبنية المختلفة و إعداد قائمة بالمواد اللازمة لتنفيذ أعمال الصيانة الدورية و الطارئة، و متابعة تنفيذها، بالإضافة إلى كيل الأعمال المنجزة، و حساب كمياتها و تدقيقها و إعداد المطالبات المالية.,احد رفيده,9,05/05/1447,5,5,1447,jadarat_recent
القطاع شبه الحكومي,مدينة الملك فيصل العسكرية بالمنطقة الجنوبية,فني صيانة ميكانيكية,تتبع المخططات الميكانيكية للمنظومات والأجهزة والمعدات الميكانيكية، وتشخيص الأعطال الميكانيكية وتحديد أسبابها، وتقدير كمية وكلفة المواد والمستلزمات، ومتابعة تنفيذ أنشطة الصيانة اللازمة،وفحص الأجهزة بعد الإصلاح، ومتابعة تنفيذ برامج الصيانة الوقائية بحسب برامج الصيانة الوقائية وإعداد وتقديم تقارير العمل.,احد رفيده,2,05/05/1447,5,5,1447,jadarat_recent
القطاع شبه الحكومي,مدينة الملك فيصل العسكرية بالمنطقة الجنوبية,فني صيانة انشاءات,صيانة، وتحديد إجراءات ومتطلبات الصيانة، وتقدير كمية المواد والعمال والتجهيزات اللازمة، ومتابعة تنفيذ عمليات الصيانة.,احد رفيده,2,05/05/1447,5,5,1447,jadarat_recent
القطاع شبه الحكومي,مدينة الملك فهد العسكرية بالمنطقة الشرقية,فني صيانة ميكانيكية,تتبع المخططات الميكانيكية للمنظومات والأجهزة والمعدات الميكانيكية، وتشخيص الأعطال الميكانيكية وتحديد أسبابها، وتقدير كمية وكلفة المواد والمستلزمات، ومتابعة تنفيذ أنشطة الصيانة اللازمة،وفحص الأجهزة بعد الإصلاح، ومتابعة تنفيذ برامج الصيانة الوقائية بحسب برامج الصيانة الوقائية وإعداد وتقديم تقارير العمل.,الدمام,2,04/05/1447,4,5,1447,jadarat_recent
القطاع شبه الحكومي,مدينة الملك فهد العسكرية بالمنطقة الشرقية,مشغل محطة تحلية مياه,تشغيل أنظمة وآلات التحكم ومراقبتها وصيانتها لمراقبة الإنتاج في محطة تحلية المياة والتحقق من المعدات ومراقبة ظروف التشغيل,الدمام,9,04/05/1447,4,5,1447,jadarat_recent
القطاع شبه الحكومي,مدينة الملك فهد العسكرية بالمنطقة الشرقية,فني صيانة مباني,تنفيذ أعمال تركيب وصيانة منتجات الألمنيوم والزجاج في المباني والمنشآت وفقاً للمخططات والمواصفات الفنية، بما يضمن الجودة والدقة وسلامة التنفيذ.,الدمام,4,04/05/1447,4,5,1447,jadarat_recent
القطاع شبه الحكومي,مدينة الملك فهد العسكرية بالمنطقة الشرقية,فني صيانة مباني,دراسة تفاصيل خطة الصيانة الدورية للأبنية المختلفة و إعداد قائمة بالمواد اللازمة لتنفيذ أعمال الصيانة الدورية و الطارئة، و متابعة تنفيذها، بالإضافة إلى كيل الأعمال المنجزة، و حساب كمياتها و تدقيقها و إعداد المطالبات المالية.,الدمام,7,04/05/1447,4,5,1447,jadarat_recent
القطاع شبه الحكومي,مدينة الملك فهد العسكرية بالمنطقة الشرقية,فني نقل طاقة كهربائية,تركيب كابلات النقل والدعائم والوصلات والعوازل ومانعات الصواعق وضمان الاستجابة لعمليات الطوارئ بأقصى سرعة للتقليل من فترات انقطاع التيار الكهربائي,الدمام,1,04/05/1447,4,5,1447,jadarat_recent
القطاع شبه الحكومي,مدينة الملك فهد العسكرية بالمنطقة الشرقية,مشغل محطة تحلية مياه,تشغيل أنظمة وآلات التحكم ومراقبتها وصيانتها لمراقبة الإنتاج في محطة تحلية المياة والتحقق من المعدات ومراقبة ظروف التشغيل,الدمام,5,04/05/1447,4,5,1447,jadarat_recent
القطاع شبه الحكومي,مدينة الملك فهد العسكرية بالمنطقة الشرقية,فني ميكانيكي تمديدات صحية وتدفئة وغاز,إعداد قوائم بنود القطع والمواد والمعدات اللازمة لتنفيذ أعمال التمديدات الصحية وشبكات المياهومتابعة تنفيذ أعمال التمديد بالإضافة إلى تشخيص أعطال المعدات الميكانيكية ومتابعة إصلاحها.,الدمام,1,04/05/1447,4,5,1447,jadarat_recent
القطاع شبه الحكومي,مدينة الملك فهد العسكرية بالمنطقة الشرقية,فني صيانة مباني,دراسة تفاصيل خطة الصيانة الدورية للأبنية المختلفة و إعداد قائمة بالمواد اللازمة لتنفيذ أعمال الصيانة الدورية و الطارئة، و متابعة تنفيذها، بالإضافة إلى كيل الأعمال المنجزة، و حساب كمياتها و تدقيقها و إعداد المطالبات المالية.,الدمام,4,04/05/1447,4,5,1447,jadarat_recent
القطاع شبه الحكومي,مدينة الملك فهد العسكرية بالمنطقة الشرقية,فني كهربائي تمديدات كهربائية,دراسة مخططات التمديدات الكهربائية وتقدير كميات المواد والأجهزة وتأمين التجهيزات اللازمة لتنفيذ أعمال التمديدات بالإضافة إلى متابعة تنفيذ أعمال التمديدات الكهربائية وتشخيص أعطال التمديدات وتحديد الإجراءات اللازمة لمعالجتها.,الدمام,4,04/05/1447,4,5,1447,jadarat_recent
القطاع شبه الحكومي,مدينة الملك فهد العسكرية بالمنطقة الشرقية,فني صيانة ميكانيكية,تتبع المخططات الميكانيكية للمنظومات والأجهزة والمعدات الميكانيكية، وتشخيص الأعطال الميكانيكية وتحديد أسبابها، وتقدير كمية وكلفة المواد والمستلزمات، ومتابعة تنفيذ أنشطة الصيانة اللازمة،وفحص الأجهزة بعد الإصلاح، ومتابعة تنفيذ برامج الصيانة الوقائية بحسب برامج الصيانة الوقائية وإعداد وتقديم تقارير العمل.,الدمام,1,04/05/1447,4,5,1447,jadarat_recent
القطاع شبه الحكومي,مدينة الملك فهد العسكرية بالمنطقة الشرقية,ميكانيكي تدفئة وتهوية وتكييف,فحص نظم تمديدات التدفئة والتهوية وتكييف الهواء وصيانتها وتصليحها.,الدمام,1,04/05/1447,4,5,1447,jadarat_recent
القطاع شبه الحكومي,مدينة الملك فهد العسكرية بالمنطقة الشرقية,فني أجهزة إلكترونية,تركيب الأجهزة الإلكترونية والمعدات مثل الدوائر وعناصر التحكم والآلات ومراقبتها، ومساعدة مهندسي الإلكترونيات في أنشطة البحث والتطوير.,الدمام,1,04/05/1447,4,5,1447,jadarat_recent
القطاع شبه الحكومي,مدينة الملك فهد العسكرية بالمنطقة الشرقية,فني شبكات اتصالات,تمديد الأسلاك وتوصيل المعدات اللازمة لتشغيل الشبكات وضمان تشغيل الهواتف والانترنت وتوصيل كافة الأسلاك في المباني وخارجها وإعداد تقرير للمسؤول المباشر.,الدمام,2,04/05/1447,4,5,1447,jadarat_recent
القطاع شبه الحكومي,مدينة الملك فهد العسكرية بالمنطقة الشرقية,فني مكافحة آفات,إزالة الحشرات الضارة أو الحيوانات الصغيرة أو النباتات البرية أو غيرها من الكائنات غير المرغوب فيها.,الدمام,3,04/05/1447,4,5,1447,jadarat_recent
القطاع شبه الحكومي,مدينة الملك فهد العسكرية بالمنطقة الشرقية,فني زراعي,تقديم الدعم الفني والعلمي وتقديم المشورة في مجال الزراعة، وإجراء اختبارات وتجارب لدعم الإنتاج,الدمام,4,04/05/1447,4,5,1447,jadarat_recent
القطاع شبه الحكومي,مدينة الملك فهد العسكرية بالمنطقة الشرقية,ميكانيكي تدفئة وتهوية وتكييف,فحص نظم تمديدات التدفئة والتهوية وتكييف الهواء وصيانتها وتصليحها.,الدمام,5,04/05/1447,4,5,1447,jadarat_recent
القطاع شبه الحكومي,مدينة الملك فهد العسكرية بالمنطقة الشرقية,كهربائي مباني,تركيب الأسلاك الكهربائية، والأجهزة والتجهيزات في المباني والهياكل الأخرى وصيانتها وتصليحها.,الدمام,6,04/05/1447,4,5,1447,jadarat_recent
القطاع شبه الحكومي,إدارة مدينة الملك خالد العسكرية للتشغيل والصيانة,فني كهربائي شبكات توزيع هوائية,القيام بأعمال التشغيل والصيانة للأجهزة والمعدات الكهربائية ذات الضغط العالي وتجميع وتركيب وتشغيل وصيانة الآلات والمولدات الصناعية ذات الضغط عالي في محطات التوليد,حفر الباطن,1,04/05/1447,4,5,1447,jadarat_recent
القطاع شبه الحكومي,إدارة مدينة الملك خالد العسكرية للتشغيل والصيانة,فني صيانة ميكانيكية,تركيب الضواغط وصيانتها وتصليحها وفقاً لخطط العمل الموضوعة .,حفر الباطن,1,04/05/1447,4,5,1447,jadarat_recent
القطاع شبه الحكومي,إدارة مدينة الملك خالد العسكرية للتشغيل والصيانة,مشرف إنشاء طرق,إعداد خطة وبرنامج العمل، ومتابعة تنفيذ إنشاء الطرق بحسب المواصفات والبرامج التنفيذية وأخذ العينات وارسالها إلى المختبر، وقياس الأعمال المنجزة بالتنسيق مع مهندس الطرق المشرف، وإعداد وتقديم تقارير العمل.,حفر الباطن,1,04/05/1447,4,5,1447,jadarat_recent
القطاع شبه الحكومي,إدارة مدينة الملك خالد العسكرية للتشغيل والصيانة,فني صيانة آلات كهربائية,فحص الأجهزة الكهربائية وتشخيص الأعطال الحاصلة في الأجهزة والقيام بصيانة وإصلاح الأعطال بالإضافة إلى إجراء الفحص بعد الصيانة للتأكد من دقة وفاعلية الإصلاح .,حفر الباطن,3,04/05/1447,4,5,1447,jadarat_recent
القطاع شبه الحكومي,إدارة مدينة الملك خالد العسكرية للتشغيل والصيانة,فني ميكانيكي معدات ثقيلة,فحص المعدات الهيدروليكية الثقيلة مثل الشاحنات الثقيلة ومعدات الإنشاءات ذات الصبة والجرارات التي تعمل بالبنزين والديزل وصيانتها وتصليحها,حفر الباطن,2,04/05/1447,4,5,1447,jadarat_recent
القطاع شبه الحكومي,إدارة مدينة الملك خالد العسكرية للتشغيل والصيانة,فني هندسة ميكانيكية,المساعدة في أبحاث الهندسة الميكانيكية وتصميم المعدات والنظم، ودعم أنشطة الإنتاج والتركيب والصيانة.,حفر الباطن,1,04/05/1447,4,5,1447,jadarat_recent
القطاع شبه الحكومي,إدارة مدينة الملك خالد العسكرية للتشغيل والصيانة,فني طرق,أداء الواجبات الفنية المتعلقة بإنشاء الطرق،وجمع العينات من تربة المسار والمواد الإنشائية وإرسالها للمختبر، ومطابقة المواصفات، وتقدير كميات المواد والعمالة اللازمة .,حفر الباطن,1,04/05/1447,4,5,1447,jadarat_recent
القطاع شبه الحكومي,إدارة مدينة الملك خالد العسكرية للتشغيل والصيانة,كهربائي مباني,أعمال التشغيل والصيانة والمساندة الفنية للأجهزة والمعدات الكهربائية والقيام بالأعمال الأخرى ذلت العلاقة بهذه المجالات,حفر الباطن,4,04/05/1447,4,5,1447,jadarat_recent
القطاع شبه الحكومي,إدارة مدينة الملك خالد العسكرية للتشغيل والصيانة,فني صيانة مباني,قص الزجاج والمرايا وتشكيلها وصقل أحرفها وتركيب الزجاج في النوافذ والأبواب والأطر وتغشية الزجاج والمرايا .,حفر الباطن,1,04/05/1447,4,5,1447,jadarat_recent
القطاع شبه الحكومي,إدارة مدينة الملك خالد العسكرية للتشغيل والصيانة,مشغل محطة تحلية مياه,تشغيل أنظمة وآلات التحكم ومراقبتها وصيانتها لمراقبة الإنتاج في محطة تحلية المياة والتحقق من المعدات ومراقبة ظروف التشغيل,حفر الباطن,1,04/05/1447,4,5,1447,jadarat_recent
القطاع شبه الحكومي,إدارة مدينة الملك خالد العسكرية للتشغيل والصيانة,فني إنشاءات,أداء الواجبات الفنية المتعلقة بإنشاء الأبنية، وجمع العينات من تربة الموقع والمواد الانشائية وإرسالها للمختبر، ومطابقة المواصفات،وتقدير كميات المواد والعمالة اللازمة.,حفر الباطن,10,04/05/1447,4,5,1447,jadarat_recent
